index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
1922;h;784;216;1000;1.007276452;ion;all
2601;h[p];18;175;193;1.007276452;ion;all
2812;h[e];0;3;3;1.007276452;ion;all
2678;h2;3;3;6;2.015650064;metabolite;all
3211;h2[e];0;1;1;2.015650064;metabolite;all
3212;h2[p];1;1;2;2.015650064;metabolite;all
1956;nh4;46;4;50;17.0265491;metabolite;all
2608;nh4[p];3;1;4;17.0265491;metabolite;all
3350;nh4[e];0;1;1;17.0265491;metabolite;all
1954;h2o;105;581;686;18.01056468;metabolite;all
2607;h2o[p];9;2;11;18.01056468;metabolite;all
3208;h2o[e];0;1;1;18.01056468;metabolite;all
714;s0001;0;29;29;18.0153;protein;all
1658;b2092;0;1;1;18.0153;protein;all
2791;na1[p];4;12;16;22.9892207;ion;all
2792;na1;12;3;15;22.9892207;ion;all
3349;na1[e];0;1;1;22.9892207;ion;all
3320;mg2[p];1;3;4;23.98394454;ion;all
3321;mg2;3;0;3;23.98394454;ion;all
3322;mg2[e];0;1;1;23.98394454;ion;all
312;magnesium;1;2;3;23.98394454;ion;all
2397;cyan;0;3;3;26.00362258;metabolite;all
2933;cyan[e];0;1;1;26.00362258;metabolite;all
2934;cyan[p];1;0;1;26.00362258;metabolite;all
2611;no;1;3;4;29.99798862;metabolite;all
3357;no[e];0;1;1;29.99798862;metabolite;all
3358;no[p];1;1;2;29.99798862;metabolite;all
2400;fald;4;1;5;30.01056468;metabolite;all
3045;fald[e];0;1;1;30.01056468;metabolite;all
3046;fald[p];1;1;2;30.01056468;metabolite;all
2346;s;0;1;1;31.972071;metabolite;all
2019;o2;4;39;43;31.98982924;metabolite;all
3373;o2[e];0;1;1;31.98982924;metabolite;all
3374;o2[p];1;1;2;31.98982924;metabolite;all
2681;o2s;2;2;4;31.99037782;metabolite;all
3371;o2s[e];0;1;1;31.99037782;metabolite;all
3372;o2s[p];1;0;1;31.99037782;metabolite;all
2192;ACP;40;11;51;32.97989603;metabolite;all
2416;h2s;3;3;6;33.98772106;metabolite;all
3209;h2s[p];2;0;2;33.98772106;metabolite;all
3210;h2s[e];0;1;1;33.98772106;metabolite;all
2161;h2o2;13;4;17;34.0054793;metabolite;all
3206;h2o2[e];0;1;1;34.0054793;metabolite;all
3207;h2o2[p];1;0;1;34.0054793;metabolite;all
2899;cl[p];1;1;2;34.96940126;metabolite;all
2900;cl;1;0;1;34.96940126;ion;all
2901;cl[e];0;1;1;34.96940126;ion;all
3250;k[p];2;2;4;38.9631581;ion;all
3251;k;2;1;3;38.9631581;ion;all
3252;k[e];0;1;1;38.9631581;ion;all
2869;ca2;0;2;2;39.96149382;ion;all
2870;ca2[p];3;0;3;39.96149382;ion;all
2871;ca2[e];0;1;1;39.96149382;ion;all
2610;cynt;1;1;2;43.00581365;metabolite;all
2936;cynt[p];1;1;2;43.00581365;metabolite;all
2937;cynt[e];0;1;1;43.00581365;metabolite;all
2016;co2;74;4;78;43.98982924;metabolite;all
2904;co2[e];0;1;1;43.98982924;metabolite;all
2905;co2[p];1;1;2;43.98982924;metabolite;all
2612;n2o;2;0;2;44.00106262;metabolite;all
3345;n2o[e];0;1;1;44.00106262;metabolite;all
3346;n2o[p];1;1;2;44.00106262;metabolite;all
2005;acald;8;3;11;44.02621475;metabolite;all
2764;acald[e];0;1;1;44.02621475;metabolite;all
2765;acald[p];1;1;2;44.02621475;metabolite;all
2012;for;12;3;15;46.0054793;metabolite;all
2794;for[p];2;3;5;46.0054793;metabolite;all
3085;for[e];0;1;1;46.0054793;metabolite;all
2856;etoh;1;1;2;46.04186481;metabolite;all
3033;etoh[p];1;1;2;46.04186481;metabolite;all
3034;etoh[e];0;1;1;46.04186481;metabolite;all
2606;no2[p];4;3;7;47.00072827;metabolite;all
2679;no2;3;2;5;47.00072827;metabolite;all
3355;no2[e];0;1;1;47.00072827;metabolite;all
311;manganese;1;1;2;54.9;ion;all
3333;mn2;2;1;3;54.93694794;ion;all
3334;mn2[p];2;2;4;54.93694794;ion;all
3337;mn2[e];0;1;1;54.93694794;ion;all
2043;fe3;5;7;12;55.93329176;ion;all
3053;fe3[p];1;1;2;55.93329176;ion;all
3065;fe3[e];0;1;1;55.93329176;ion;all
2042;fe2;22;4;26;55.93384034;ion;all
3051;fe2[p];2;3;5;55.93384034;ion;all
3052;fe2[e];0;1;1;55.93384034;ion;all
3351;ni2;2;2;4;57.93424574;ion;all
3352;ni2[p];3;2;5;57.93424574;ion;all
3353;ni2[e];0;1;1;57.93424574;ion;all
2184;ppal;0;2;2;58.04186481;metabolite;all
3421;ppal[e];0;1;1;58.04186481;metabolite;all
3422;ppal[p];2;0;2;58.04186481;metabolite;all
2906;cobalt2;1;2;3;58.93209784;metabolite;all
2907;cobalt2[p];3;1;4;58.93209784;ion;all
2908;cobalt2[e];0;1;1;58.93209784;ion;all
2399;tcynt;3;0;3;58.98297003;metabolite;all
3480;tcynt[e];0;1;1;58.98297003;metabolite;all
3481;tcynt[p];1;0;1;58.98297003;metabolite;all
2050;aacald;1;1;2;59.03711378;metabolite;all
2686;tma;2;0;2;59.07349929;metabolite;all
2778;tma[p];3;0;3;59.07349929;metabolite;all
3502;tma[e];0;1;1;59.07349929;metabolite;all
2026;ac;14;2;16;60.02112937;metabolite;all
2389;gcald;2;1;3;60.02112937;metabolite;all
2790;ac[p];1;2;3;60.02112937;metabolite;all
2793;ac[e];0;1;1;60.02112937;metabolite;all
2244;urea;2;0;2;60.03236275;metabolite;all
